Order_ID,Customer_ID,Postal_Code,Order_Date,Ship_Date,Ship_Mode
CA-2011-102652,AY-10555,90049,4/6/2011,4/12/2011,Standard Class
CA-2011-102673,KH-16630,28205,11/1/2011,11/5/2011,Standard Class
CA-2011-102869,LC-17140,19140,9/9/2011,9/14/2011,Second Class
CA-2011-102988,GM-14695,22304,4/5/2011,4/9/2011,Second Class
CA-2011-103058,AG-10270,10011,7/23/2011,7/24/2011,First Class
CA-2011-103086,EB-14170,77095,10/17/2011,10/19/2011,Second Class
CA-2011-103100,AB-10105,46203,12/20/2011,12/23/2011,First Class
CA-2011-103191,VG-21805,60653,9/22/2011,9/27/2011,Standard Class
CA-2011-103219,BF-11215,10035,11/9/2011,11/13/2011,Standard Class
CA-2011-103310,GM-14680,95123,5/10/2011,5/15/2011,Standard Class
CA-2011-103317,DM-13525,32137,7/5/2011,7/8/2011,First Class
CA-2011-103331,KB-16315,19711,8/26/2011,9/1/2011,Standard Class
CA-2011-103366,EH-13990,30076,1/16/2011,1/18/2011,First Class
CA-2011-103373,BS-11755,44105,5/18/2011,5/24/2011,Standard Class
CA-2011-103401,GR-14560,94110,11/21/2011,11/26/2011,Standard Class
CA-2011-103429,LW-16825,10024,5/30/2011,6/1/2011,First Class
CA-2011-103492,CM-12715,77340,10/10/2011,10/15/2011,Standard Class
CA-2011-103527,CC-12220,60653,9/9/2011,9/14/2011,Second Class
CA-2011-103590,JL-15505,10550,11/30/2011,12/4/2011,Standard Class
CA-2011-103660,MW-18220,98103,8/25/2011,8/30/2011,Standard Class
CA-2011-103702,AF-10885,45014,9/12/2011,9/17/2011,Standard Class
CA-2011-103744,MG-17875,79907,2/24/2011,2/28/2011,Standard Class
CA-2011-103800,DP-13000,77095,1/4/2011,1/8/2011,Standard Class
CA-2011-103807,EM-13825,30328,12/2/2011,12/9/2011,Standard Class
CA-2011-103849,PG-18895,76106,5/11/2011,5/16/2011,Standard Class
CA-2011-103940,BN-11515,98103,9/17/2011,9/21/2011,Standard Class
CA-2011-103989,MC-17605,33801,3/19/2011,3/21/2011,First Class
CA-2011-104178,JM-15265,90036,8/25/2011,8/29/2011,Standard Class
CA-2011-104269,DB-13060,98115,3/1/2011,3/6/2011,Second Class
CA-2011-104283,LM-17065,38671,6/27/2011,7/1/2011,Standard Class
CA-2011-104402,DB-13660,19711,6/17/2011,6/23/2011,Standard Class
CA-2011-104472,CK-12325,84057,6/2/2011,6/7/2011,Standard Class
CA-2011-104563,CM-12715,98103,3/7/2011,3/12/2011,Standard Class
CA-2011-104738,SP-20620,78041,12/30/2011,1/1/2012,Second Class
CA-2011-104773,TB-21175,77041,12/8/2011,12/13/2011,Standard Class
CA-2011-104780,BT-11530,92037,5/21/2011,5/25/2011,Standard Class
CA-2011-104808,MH-17440,92025,2/5/2011,2/9/2011,Second Class
CA-2011-104829,JG-15805,84604,11/18/2011,11/21/2011,Second Class
CA-2011-104976,CK-12760,94122,12/9/2011,12/16/2011,Standard Class
CA-2011-105165,SZ-20035,77036,9/7/2011,9/10/2011,First Class
CA-2011-105172,PK-18910,94109,4/4/2011,4/9/2011,Standard Class
CA-2011-105249,DH-13675,94122,11/28/2011,11/28/2011,Same Day
CA-2011-105270,AP-10915,90008,11/11/2011,11/18/2011,Standard Class
CA-2011-105340,EH-14185,77506,11/22/2011,11/25/2011,First Class
CA-2011-105417,VS-21820,77340,1/8/2011,1/13/2011,Standard Class
CA-2011-105648,EJ-14155,92037,3/3/2011,3/7/2011,Standard Class
CA-2011-105872,JG-15160,10024,5/30/2011,6/6/2011,Standard Class
CA-2011-105893,PK-19075,53711,11/11/2011,11/18/2011,Standard Class
CA-2011-105984,MY-18295,43229,11/24/2011,11/24/2011,Same Day
CA-2011-106054,JO-15145,30605,1/7/2011,1/8/2011,First Class
CA-2011-106229,NR-18550,60505,6/7/2011,6/11/2011,Second Class
CA-2011-106264,CK-12595,92024,12/26/2011,12/30/2011,Standard Class
CA-2011-106376,BS-11590,85234,12/5/2011,12/10/2011,Standard Class
CA-2011-106439,GG-14650,90049,10/31/2011,11/4/2011,Standard Class
CA-2011-106572,NP-18700,43402,9/5/2011,9/10/2011,Standard Class
CA-2011-106719,RB-19645,59102,8/24/2011,8/24/2011,Same Day
CA-2011-106726,RS-19765,90008,12/6/2011,12/8/2011,First Class
CA-2011-106803,DC-13285,55016,12/29/2011,1/2/2012,Standard Class
CA-2011-106810,AJ-10795,33710,5/14/2011,5/20/2011,Standard Class
CA-2011-106971,BM-11785,60089,9/2/2011,9/8/2011,Standard Class
CA-2011-107139,DP-13390,90004,7/5/2011,7/11/2011,Standard Class
CA-2011-107153,GZ-14545,1841,9/28/2011,10/3/2011,Standard Class
CA-2011-107181,DB-13270,92024,2/5/2011,2/9/2011,Standard Class
CA-2011-107398,BS-11590,43229,8/25/2011,8/30/2011,Standard Class
CA-2011-107454,RD-19720,10024,11/2/2011,11/6/2011,Standard Class
CA-2011-107524,KN-16705,10009,3/2/2011,3/8/2011,Standard Class
CA-2011-107573,PB-19150,33178,12/12/2011,12/17/2011,Standard Class
CA-2011-107594,EH-13945,7060,7/2/2011,7/6/2011,Standard Class
CA-2011-107706,ST-20530,77095,2/15/2011,2/20/2011,Second Class
CA-2011-107755,CK-12760,7036,2/8/2011,2/13/2011,Standard Class
CA-2011-107769,BT-11395,67846,10/28/2011,11/1/2011,Standard Class
CA-2011-107811,LA-16780,38109,4/29/2011,5/3/2011,Standard Class
CA-2011-107818,MC-17275,99301,9/8/2011,9/14/2011,Standard Class
CA-2011-107916,JP-15460,11572,8/24/2011,8/26/2011,First Class
CA-2011-108147,RD-19480,11561,6/8/2011,6/13/2011,Standard Class
CA-2011-108182,DL-13315,60441,2/7/2011,2/11/2011,Second Class
CA-2011-108189,ES-14080,85281,10/2/2011,10/5/2011,First Class
CA-2011-108273,EJ-13720,77340,12/16/2011,12/21/2011,Standard Class
CA-2011-108609,AJ-10780,44052,10/31/2011,11/2/2011,Second Class
CA-2011-108707,DB-12910,33311,10/24/2011,10/29/2011,Standard Class
CA-2011-108861,MM-17260,98105,5/28/2011,6/1/2011,Standard Class
CA-2011-108903,DO-13435,43229,10/3/2011,10/3/2011,Same Day
CA-2011-109043,CS-12355,33021,8/15/2011,8/17/2011,First Class
CA-2011-109127,JC-15775,19711,12/21/2011,12/25/2011,Standard Class
CA-2011-109134,DE-13255,90008,11/5/2011,11/10/2011,Standard Class
CA-2011-109218,AR-10825,90004,6/30/2011,7/3/2011,Second Class
CA-2011-109232,ND-18370,29464,1/14/2011,1/17/2011,Second Class
CA-2011-109302,CS-12175,8701,8/12/2011,8/16/2011,Standard Class
CA-2011-109491,LC-16930,47374,2/21/2011,2/27/2011,Standard Class
CA-2011-109680,VP-21760,46203,10/6/2011,10/9/2011,First Class
CA-2011-109855,LH-16900,10009,9/1/2011,9/5/2011,Standard Class
CA-2011-109890,PG-18820,68104,7/21/2011,7/27/2011,Standard Class
CA-2011-109897,BW-11200,94122,8/12/2011,8/16/2011,Standard Class
CA-2011-109904,BF-10975,10009,7/14/2011,7/17/2011,Second Class
CA-2011-109918,LR-17035,95051,9/7/2011,9/12/2011,Second Class
CA-2011-109932,VP-21760,78521,12/9/2011,12/11/2011,First Class
CA-2011-110030,LF-17185,77095,12/6/2011,12/8/2011,Second Class
CA-2011-110065,SP-20650,10009,8/5/2011,8/11/2011,Standard Class
CA-2011-110072,MG-17680,43055,10/22/2011,10/28/2011,Standard Class
CA-2011-110100,LC-16885,28403,4/25/2011,4/29/2011,Standard Class
CA-2011-110184,BF-11170,90036,7/12/2011,7/16/2011,Standard Class
CA-2011-110219,EB-13870,78207,5/5/2011,5/8/2011,First Class
CA-2011-110352,ED-13885,77036,11/23/2011,11/29/2011,Standard Class
CA-2011-110408,AS-10225,36116,10/18/2011,10/20/2011,Second Class
CA-2011-110422,TB-21400,33180,1/22/2011,1/24/2011,Second Class
CA-2011-110527,ED-13885,92037,8/9/2011,8/16/2011,Standard Class
CA-2011-110555,MM-18055,59405,4/11/2011,4/18/2011,Standard Class
CA-2011-110611,JD-16015,19120,10/6/2011,10/13/2011,Standard Class
CA-2011-110639,RH-19495,10009,8/23/2011,8/23/2011,Same Day
CA-2011-110786,AJ-10795,94110,12/29/2011,1/2/2012,Standard Class
CA-2011-110849,JL-15835,90049,4/18/2011,4/23/2011,Standard Class
CA-2011-111003,CR-12625,8701,6/1/2011,6/6/2011,Standard Class
CA-2011-111059,TB-21400,98105,2/4/2011,2/7/2011,Second Class
CA-2011-111150,RW-19630,65203,12/31/2011,1/4/2012,Standard Class
CA-2011-111157,NH-18610,19120,3/2/2011,3/6/2011,Standard Class
CA-2011-111192,TS-21430,98103,7/30/2011,8/5/2011,Standard Class
CA-2011-111360,AT-10435,44312,11/24/2011,11/30/2011,Standard Class
CA-2011-111451,KL-16555,80906,12/26/2011,12/28/2011,First Class
CA-2011-111500,DJ-13510,72209,8/17/2011,8/21/2011,Standard Class
CA-2011-111773,JK-15625,10024,6/29/2011,7/3/2011,Standard Class
CA-2011-111857,NM-18445,94109,4/23/2011,4/26/2011,Second Class
CA-2011-111871,EK-13795,94110,3/18/2011,3/21/2011,Second Class
CA-2011-111899,NC-18340,77036,5/4/2011,5/5/2011,First Class
CA-2011-111934,GD-14590,22204,5/5/2011,5/7/2011,First Class
CA-2011-111962,EB-14170,98115,9/29/2011,10/4/2011,Standard Class
CA-2011-112158,DP-13165,10035,12/2/2011,12/4/2011,First Class
CA-2011-112291,KE-16420,90008,4/3/2011,4/8/2011,Standard Class
CA-2011-112326,PO-19195,60540,1/5/2011,1/9/2011,Standard Class
CA-2011-112403,JO-15280,19120,3/31/2011,3/31/2011,Same Day
CA-2011-112718,KN-16450,32216,12/16/2011,12/21/2011,Standard Class
CA-2011-112837,LW-17125,93030,9/11/2011,9/16/2011,Standard Class
CA-2011-112851,NR-18550,91911,9/17/2011,9/21/2011,Standard Class
CA-2011-113047,AP-10915,29730,10/24/2011,10/24/2011,Same Day
CA-2011-113166,LF-17185,33180,12/24/2011,12/26/2011,First Class
CA-2011-113257,SC-20305,77705,12/16/2011,12/18/2011,Second Class
CA-2011-113271,DS-13030,94122,7/9/2011,7/14/2011,Standard Class
CA-2011-113320,LH-17155,94601,12/12/2011,12/15/2011,Second Class
CA-2011-113362,AJ-10960,14609,9/14/2011,9/19/2011,Standard Class
CA-2011-113383,SF-20065,7011,9/10/2011,9/13/2011,First Class
CA-2011-113579,KD-16345,90049,12/13/2011,12/15/2011,Second Class
CA-2011-113768,AH-10030,90004,5/13/2011,5/19/2011,Standard Class
CA-2011-113859,BC-11125,79762,9/13/2011,9/17/2011,Standard Class
CA-2011-113880,VF-21715,60126,3/1/2011,3/5/2011,Standard Class
CA-2011-113887,TH-21550,10035,4/5/2011,4/7/2011,First Class
CA-2011-113929,CK-12205,11550,6/16/2011,6/21/2011,Standard Class
CA-2011-113964,JP-16135,10011,9/23/2011,9/30/2011,Standard Class
CA-2011-114125,GH-14410,90049,7/9/2011,7/13/2011,Standard Class
CA-2011-114181,AF-10885,19134,5/10/2011,5/14/2011,Second Class
CA-2011-114195,EA-14035,45040,11/1/2011,11/3/2011,First Class
CA-2011-114251,MD-17350,19143,11/5/2011,11/10/2011,Standard Class
CA-2011-114314,DB-13555,72701,10/11/2011,10/15/2011,Standard Class
CA-2011-114321,NC-18535,23666,8/20/2011,8/25/2011,Standard Class
CA-2011-114335,XP-21865,33021,9/28/2011,10/3/2011,Standard Class
CA-2011-114433,NP-18325,94601,5/13/2011,5/17/2011,Standard Class
CA-2011-114510,JF-15295,84321,3/14/2011,3/19/2011,Standard Class
CA-2011-114517,TH-21235,10024,12/23/2011,12/27/2011,Standard Class
CA-2011-114643,FM-14215,90032,6/13/2011,6/17/2011,Standard Class
CA-2011-114790,FM-14215,40475,3/11/2011,3/13/2011,Second Class
CA-2011-115049,MM-17920,60623,9/26/2011,10/1/2011,Standard Class
CA-2011-115056,AR-10510,43229,5/2/2011,5/2/2011,Same Day
CA-2011-115084,LS-17200,71854,10/18/2011,10/22/2011,Standard Class
CA-2011-115133,DA-13450,43130,9/26/2011,9/30/2011,Standard Class
CA-2011-115161,LC-17050,92691,2/1/2011,2/3/2011,First Class
CA-2011-115259,RC-19960,43229,8/25/2011,8/27/2011,Second Class
CA-2011-115336,AB-10600,60623,11/18/2011,11/25/2011,Standard Class
CA-2011-115357,RF-19735,29203,8/6/2011,8/11/2011,Second Class
CA-2011-115791,DL-13315,19134,1/17/2011,1/19/2011,Second Class
CA-2011-115812,BH-11710,90032,6/9/2011,6/14/2011,Standard Class
CA-2011-115889,SH-20395,94122,11/2/2011,11/6/2011,Standard Class
CA-2011-115973,NG-18430,45231,11/24/2011,11/26/2011,First Class
CA-2011-115980,VW-21775,57103,7/15/2011,7/19/2011,Standard Class
CA-2011-116190,SG-20470,30318,7/26/2011,8/1/2011,Standard Class
CA-2011-116239,CL-12565,29203,3/4/2011,3/4/2011,Same Day
CA-2011-116246,LW-17215,10035,9/12/2011,9/17/2011,Second Class
CA-2011-116407,JF-15190,37604,11/15/2011,11/21/2011,Standard Class
CA-2011-116568,BM-11785,32725,12/14/2011,12/20/2011,Standard Class
CA-2011-116666,KT-16480,19134,5/8/2011,5/10/2011,First Class
CA-2011-116673,JO-15280,92037,12/15/2011,12/19/2011,Second Class
CA-2011-116757,MS-17980,77095,6/30/2011,7/4/2011,Standard Class
CA-2011-116785,MH-17290,90036,4/26/2011,4/30/2011,Standard Class
CA-2011-116834,Dp-13240,98115,10/11/2011,10/16/2011,Standard Class
CA-2011-116904,SC-20095,55407,9/23/2011,9/28/2011,Standard Class
CA-2011-116932,ME-18010,94122,7/21/2011,7/25/2011,Standard Class
CA-2011-117016,SC-20095,33063,3/4/2011,3/9/2011,Standard Class
CA-2011-117317,JF-15490,90032,10/19/2011,10/19/2011,Same Day
CA-2011-117345,BF-10975,28205,8/1/2011,8/5/2011,Standard Class
CA-2011-117429,MR-17545,19140,10/7/2011,10/13/2011,Standard Class
CA-2011-117464,NP-18325,94122,7/22/2011,7/24/2011,Second Class
CA-2011-117478,LH-16750,19140,9/21/2011,9/24/2011,First Class
CA-2011-117639,MW-18235,23464,5/21/2011,5/25/2011,Standard Class
CA-2011-117709,PM-18940,49201,5/4/2011,5/8/2011,Standard Class
CA-2011-117765,RB-19465,74133,9/7/2011,9/13/2011,Standard Class
CA-2011-118192,MM-17920,43055,1/14/2011,1/19/2011,Standard Class
CA-2011-118276,MG-17890,60174,12/29/2011,1/2/2012,Standard Class
CA-2011-118304,KH-16360,19901,4/29/2011,5/4/2011,Standard Class
CA-2011-118339,BN-11515,55044,3/17/2011,3/24/2011,Standard Class
CA-2011-118962,CS-12130,90004,8/5/2011,8/9/2011,Standard Class
CA-2011-118976,MY-18295,21215,4/28/2011,5/3/2011,Standard Class
CA-2011-119032,MS-17770,10035,11/27/2011,12/3/2011,Standard Class
CA-2011-119144,JD-16150,90008,11/16/2011,11/18/2011,First Class
CA-2011-119151,MP-18175,10009,11/25/2011,11/29/2011,Second Class
CA-2011-119172,HD-14785,60610,5/11/2011,5/15/2011,Standard Class
CA-2011-119375,YC-21895,19711,11/17/2011,11/22/2011,Standard Class
CA-2011-119466,SP-20860,60623,12/15/2011,12/21/2011,Standard Class
CA-2011-119529,DM-13345,7050,11/3/2011,11/5/2011,Second Class
CA-2011-119977,DN-13690,10011,10/8/2011,10/13/2011,Second Class
CA-2011-120096,KE-16420,80013,7/4/2011,7/7/2011,First Class
CA-2011-120243,AT-10435,90004,12/27/2011,12/30/2011,Second Class
CA-2011-120278,MS-17365,54401,11/7/2011,11/12/2011,Standard Class
CA-2011-120411,SB-20185,60653,9/20/2011,9/23/2011,First Class
CA-2011-120432,DW-13585,42301,8/24/2011,8/26/2011,Second Class
CA-2011-120474,RP-19390,53711,12/1/2011,12/3/2011,First Class
CA-2011-120544,SS-20140,75150,11/23/2011,11/27/2011,Standard Class
CA-2011-120670,JK-16120,33311,11/2/2011,11/6/2011,Standard Class
CA-2011-120768,IM-15070,35630,12/19/2011,12/21/2011,Second Class
CA-2011-120775,RD-19930,75217,10/3/2011,10/7/2011,Standard Class
CA-2011-120838,PO-18865,90036,3/23/2011,3/26/2011,Second Class
CA-2011-120852,WB-21850,75051,12/20/2011,12/25/2011,Standard Class
CA-2011-120887,TS-21205,7601,9/27/2011,10/3/2011,Standard Class
CA-2011-120950,GA-14515,31907,11/6/2011,11/11/2011,Standard Class
CA-2011-121006,SC-20020,48640,11/10/2011,11/16/2011,Standard Class
CA-2011-121167,MO-17500,11520,11/28/2011,11/30/2011,Second Class
CA-2011-121286,ON-18715,27511,11/4/2011,11/8/2011,Second Class
CA-2011-121573,SG-20605,10009,11/3/2011,11/7/2011,Standard Class
CA-2011-121629,BT-11680,77041,11/28/2011,12/2/2011,Standard Class
CA-2011-121664,HP-14815,90049,5/6/2011,5/10/2011,Standard Class
CA-2011-121727,JK-15625,43229,8/19/2011,8/24/2011,Standard Class
CA-2011-121762,ML-17395,98103,2/15/2011,2/19/2011,Standard Class
CA-2011-121769,JS-15880,43615,4/8/2011,4/12/2011,Standard Class
CA-2011-122070,AH-10030,12180,4/22/2011,4/24/2011,Second Class
CA-2011-122217,HP-14815,23464,11/24/2011,11/29/2011,Standard Class
CA-2011-122336,JD-15895,19140,4/13/2011,4/17/2011,Second Class
CA-2011-122567,MN-17935,75220,2/17/2011,2/22/2011,Standard Class
CA-2011-122588,AR-10540,2895,11/25/2011,11/27/2011,Second Class
CA-2011-122609,DP-13000,75007,11/12/2011,11/18/2011,Standard Class
CA-2011-122679,AB-10255,90008,7/22/2011,7/28/2011,Standard Class
CA-2011-122749,NG-18430,73120,12/3/2011,12/9/2011,Standard Class
CA-2011-122882,SB-20290,19134,9/7/2011,9/13/2011,Standard Class
CA-2011-122931,SM-20950,19134,9/29/2011,10/3/2011,Standard Class
CA-2011-123064,RA-19915,60653,6/30/2011,7/2/2011,First Class
CA-2011-123127,SP-20620,11561,9/8/2011,9/12/2011,Standard Class
CA-2011-123225,MN-17935,79907,7/11/2011,7/14/2011,First Class
CA-2011-123253,DE-13255,44107,8/22/2011,8/25/2011,Second Class
CA-2011-123260,FM-14290,90032,8/26/2011,8/30/2011,Standard Class
CA-2011-123295,AH-10120,85705,7/18/2011,7/18/2011,Same Day
CA-2011-123316,SP-20545,10550,10/13/2011,10/17/2011,Standard Class
CA-2011-123323,LH-16900,94110,11/7/2011,11/12/2011,Standard Class
CA-2011-123344,JD-16060,94109,9/24/2011,9/29/2011,Standard Class
CA-2011-123400,EB-13930,33710,2/3/2011,2/10/2011,Standard Class
CA-2011-123477,DW-13195,97477,1/19/2011,1/22/2011,Second Class
CA-2011-123498,TC-20980,77041,11/7/2011,11/9/2011,First Class
CA-2011-123855,MC-18100,90036,6/18/2011,6/23/2011,Standard Class
CA-2011-123925,RF-19840,31907,12/17/2011,12/19/2011,Second Class
CA-2011-124023,PJ-19015,36608,4/7/2011,4/10/2011,First Class
CA-2011-124079,RF-19345,85023,12/13/2011,12/17/2011,Standard Class
CA-2011-124247,SH-20635,95823,12/16/2011,12/21/2011,Standard Class
CA-2011-124394,TB-21520,77705,10/17/2011,10/22/2011,Second Class
CA-2011-124429,MH-17785,92105,5/27/2011,5/27/2011,Same Day
CA-2011-124464,SS-20515,19711,7/14/2011,7/20/2011,Standard Class
CA-2011-124478,MA-17560,48183,8/8/2011,8/12/2011,Standard Class
CA-2011-124513,SL-20155,10011,9/21/2011,9/25/2011,Standard Class
CA-2011-124618,CS-11860,33801,5/2/2011,5/4/2011,Second Class
CA-2011-124646,DV-13465,55407,6/22/2011,6/24/2011,First Class
CA-2011-124688,CC-12610,22153,8/27/2011,8/29/2011,First Class
CA-2011-124702,MH-17785,98105,11/18/2011,11/25/2011,Standard Class
CA-2011-124709,GW-14605,94122,7/27/2011,7/29/2011,Second Class
CA-2011-124723,GZ-14470,77590,8/5/2011,8/12/2011,Standard Class
CA-2011-124730,LS-17245,13501,11/26/2011,11/26/2011,Same Day
CA-2011-124737,AP-10915,80219,8/23/2011,8/27/2011,Standard Class
CA-2011-124807,ME-17725,60610,7/12/2011,7/15/2011,Second Class
CA-2011-124856,LD-17005,10011,9/29/2011,10/3/2011,Second Class
CA-2011-125136,KD-16495,28314,9/28/2011,10/3/2011,Standard Class
CA-2011-125150,PW-19030,90036,5/16/2011,5/23/2011,Standard Class
CA-2011-125171,AG-10390,10009,9/3/2011,9/3/2011,Same Day
CA-2011-125514,BM-11650,68104,9/21/2011,9/22/2011,First Class
CA-2011-125542,NB-18655,19134,12/5/2011,12/7/2011,First Class
CA-2011-125556,ML-17410,6824,11/14/2011,11/16/2011,Second Class
CA-2011-125612,BK-11260,10035,8/3/2011,8/8/2011,Standard Class
CA-2011-125682,RB-19645,30318,11/22/2011,11/25/2011,First Class
CA-2011-125731,CL-12565,97030,9/10/2011,9/16/2011,Standard Class
CA-2011-125759,NM-18445,89031,2/9/2011,2/10/2011,First Class
CA-2011-125829,WB-21850,90045,11/4/2011,11/11/2011,Standard Class
CA-2011-125997,MW-18220,10011,9/20/2011,9/23/2011,First Class
CA-2011-126032,BS-11665,19143,6/23/2011,6/28/2011,Standard Class
CA-2011-126193,SS-20410,60543,9/7/2011,9/14/2011,Standard Class
CA-2011-126200,JE-15715,77070,8/25/2011,8/29/2011,Standard Class
CA-2011-126277,LH-16900,43229,9/13/2011,9/18/2011,Second Class
CA-2011-126333,ME-18010,77642,12/23/2011,12/28/2011,Standard Class
CA-2011-126361,VD-21670,84062,8/4/2011,8/9/2011,Second Class
CA-2011-126403,RR-19525,1852,9/9/2011,9/12/2011,Second Class
CA-2011-126480,HG-14965,92024,9/20/2011,9/24/2011,Standard Class
CA-2011-126522,LT-16765,92025,9/1/2011,9/5/2011,Second Class
CA-2011-126683,PP-18955,98115,9/29/2011,10/1/2011,Second Class
CA-2011-126760,KM-16720,89031,7/26/2011,8/2/2011,Standard Class
CA-2011-126802,ZC-21910,60610,12/29/2011,1/5/2012,Standard Class
CA-2011-126907,SM-20950,60610,11/1/2011,11/8/2011,Standard Class
CA-2011-126963,PS-18760,79907,6/15/2011,6/15/2011,Same Day
CA-2011-127012,GM-14680,98105,8/11/2011,8/15/2011,Standard Class
CA-2011-127131,HR-14830,98103,11/24/2011,11/30/2011,Standard Class
CA-2011-127159,HL-15040,53209,5/12/2011,5/15/2011,First Class
CA-2011-127166,KH-16360,77070,5/21/2011,5/23/2011,Second Class
CA-2011-127187,CP-12085,10024,12/4/2011,12/8/2011,Standard Class
CA-2011-127299,JL-15835,28205,9/19/2011,9/24/2011,Standard Class
CA-2011-127383,CM-11815,79907,12/31/2011,1/5/2012,Standard Class
CA-2011-127446,MC-17590,76017,11/25/2011,11/30/2011,Standard Class
CA-2011-127488,MS-17365,33433,9/22/2011,9/24/2011,Second Class
CA-2011-127523,BG-11695,13601,5/11/2011,5/18/2011,Standard Class
CA-2011-127558,SS-20410,90008,11/15/2011,11/18/2011,First Class
CA-2011-127586,CS-12400,98115,9/26/2011,9/30/2011,Standard Class
CA-2011-127614,NF-18385,23320,2/12/2011,2/16/2011,Standard Class
CA-2011-127691,EM-14065,10024,7/22/2011,7/27/2011,Standard Class
CA-2011-127859,QJ-19255,19134,3/17/2011,3/20/2011,Second Class
CA-2011-127866,JD-15895,92503,7/20/2011,7/23/2011,First Class
CA-2011-127936,CL-12565,10009,9/2/2011,9/4/2011,First Class
CA-2011-127964,AP-10720,10035,3/3/2011,3/8/2011,Standard Class
CA-2011-128055,AA-10315,94122,3/31/2011,4/5/2011,Standard Class
CA-2011-128062,AD-10180,19134,11/19/2011,11/22/2011,Second Class
CA-2011-128146,DB-13060,8701,6/21/2011,6/25/2011,Standard Class
CA-2011-128209,GT-14710,14215,11/17/2011,11/22/2011,Standard Class
CA-2011-128237,CA-12265,94110,3/25/2011,3/30/2011,Standard Class
CA-2011-128524,MZ-17515,98115,11/11/2011,11/13/2011,First Class
CA-2011-128538,AS-10240,90278,10/11/2011,10/15/2011,Standard Class
CA-2011-128622,SC-20260,94110,11/15/2011,11/17/2011,Second Class
CA-2011-128839,TT-21070,23320,9/8/2011,9/13/2011,Standard Class
CA-2011-128846,RS-19765,29203,4/7/2011,4/12/2011,Standard Class
CA-2011-128888,PB-19105,77095,11/15/2011,11/22/2011,Standard Class
CA-2011-128986,GH-14410,85301,8/3/2011,8/5/2011,Second Class
CA-2011-129091,RA-19885,31907,11/22/2011,11/27/2011,Standard Class
CA-2011-129147,LC-17050,44256,11/2/2011,11/6/2011,Standard Class
CA-2011-129168,KB-16585,77095,8/17/2011,8/23/2011,Standard Class
CA-2011-129189,HM-14860,75217,7/21/2011,7/25/2011,Standard Class
CA-2011-129364,TB-21250,97301,12/8/2011,12/13/2011,Standard Class
CA-2011-129574,Dp-13240,84107,5/26/2011,5/29/2011,First Class
CA-2011-129819,KC-16675,42420,12/13/2011,12/15/2011,Second Class
CA-2011-129924,AC-10420,94122,7/12/2011,7/17/2011,Standard Class
CA-2011-129938,EB-13705,19140,12/15/2011,12/17/2011,Second Class
CA-2011-130092,SV-20365,19901,1/12/2011,1/15/2011,First Class
